action_type,elapsed_time,trajectory,direction,straightness,num_points,max_deviation,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_j,sd_j,max_j,min_j,distance,beginning_acceleration_time
ActionType.PC,0.6687290668487549,241.27296968815415,N,0.9947325787654306,9,1.4467090258709222e-08,-7.831565691588477,-0.005351001797465096,0.015141169217708575,0.004294448771737896,-0.035959695122945036,-1.4681787962021005,7.85716100369691,6.0698220682594,-21.619361571099503,1.7893149437089986,48.75393414048351,63.049485899825626,-110.79628064243448,-334.89368971864394,317.77446215417723,0,-616.237353192349,336.6535314093159,319.42387645399117,618.3733642875253,0.0,635.9466130875841,2854.3012491495583,7401.326042492225,-2325.211384029512,14974.67386626584,84636.39479629589,208105.22808297453,-92513.1907129322,240.00208332429116,0.08123016357421875
ActionType.PC,0.7793178558349609,336.5937460901584,SW,0.9920139015721099,11,1.8816334241649813e-07,15.670471977821949,0.006071734001543701,0.017981018248955826,0.049644649522406374,-0.007370774000874076,2.8051572647428724,12.379218554842863,38.8907794947905,-7.206613991800072,-301.2428608540632,247.1636118696284,0,-592.5221275767144,381.933324857272,307.1248456748792,680.8803478596966,0.0,490.36305415745875,388.8397651085121,784.2046943137216,0.0,992.3540388538814,4125.771746299998,12545.184371847276,-2306.3198627396814,2587.1329116583943,98880.75098956832,214883.41350086627,-204032.94063876357,333.90567530367014,0.06244492530822754
ActionType.PC,0.7324948310852051,592.3466011285313,E,0.9967263849873754,16,3.5446017604636993e-08,3.925825633231631,0.0007260053045473013,0.0026864516998229963,0.009078059669059535,-0.0016546069266273678,0.5299827620825867,2.8839506098135343,10.448290091260498,-2.3129959963386972,813.5169646992806,485.80053083840454,1114.1482678472607,0.0,276.6867581363518,184.10578018481428,547.0996778730548,0.0,862.104801791608,514.5035151324827,1202.1234512001822,0.0,1455.7165202990836,7114.573363573185,26445.6379187173,-5884.708493798185,-8533.61572690639,213991.30873431033,483823.51022976974,-636857.6230656995,590.4074864023999,0.08498263359069824
ActionType.PC,0.7198519706726074,375.76774588665063,NW,0.9975877700769948,12,8.183873221212172e-08,-21.607250923286497,-0.006545713514996537,0.01864497022575179,0.0018742732009082396,-0.05608324644360611,-3.0876656548340415,13.910200699340017,11.175048647001915,-45.86271677162097,-493.9102835774465,365.3250505122446,0,-787.4845894867998,-233.1615823391499,178.21129849620607,0,-421.9179579604753,547.5052936268578,404.52373744424597,837.9337094781115,0.0,1009.764634466974,4466.536246299007,14104.416070080459,-3352.863569487486,4299.581937976555,118630.85870955177,284911.14246552077,-243669.0895421139,374.86130768592267,0.05797910690307617
ActionType.PC,0.7414588928222656,387.7947893578156,SE,0.9986165940139898,12,6.63385282027093e-08,6.678638216241333,0.0017029069430389856,0.006342430005235517,0.018598224812949198,-0.0009036594935287888,0.8591689595809582,4.786778970296476,15.864635248036713,-2.7871330106983376,378.50386681728446,281.5042710041265,630.7698323182194,0.0,417.5248868568191,309.17957568776404,676.1231570463141,0.0,564.3349412680975,416.9829623322064,867.6181855939627,0.0,1080.1032157546365,4659.402799339564,14788.352772115002,-3195.1070782192487,4605.969780010065,123601.89640581116,295617.99127795,-255065.91094336633,387.25831172487443,0.05768179893493652
ActionType.PC,0.7831070423126221,589.7218752201351,NW,0.9981437712081122,16,3.5735176952115284e-08,-31.068224387241674,-0.003844887191843696,0.014890208758288039,0.002712283112099389,-0.05329011028913968,-2.8051868135512072,15.087194328142422,9.721343444233232,-58.55461748575501,-721.8790496914133,431.81307721176614,0,-1039.498110253074,-445.7695415850881,272.4151990507383,0,-749.0246553937162,850.0070380826623,507.74105760364216,1197.884476510501,0.0,1446.2544220879092,6627.57218572782,24701.366730437163,-4629.698769047628,-9680.301070802972,194395.4139893457,438179.53032339434,-574181.4102378191,588.6272164961454,0.12958788871765137
ActionType.MM,0.4643838405609131,198.56139278477394,W,0.9937840220345564,6,0.01201910729878268,-11.262149277448163,-0.010910754865556338,0.026914870427827524,0.0031450675234361808,-0.05890947165470667,0.0782088509011385,19.566665602137096,29.95326269097536,-31.792207129004563,-335.0783023533338,260.15427627864045,0,-532.9010126164128,-113.18074076685099,101.03512072481197,0,-238.86052724222907,355.8863555256589,275.69375033353236,539.6790403307662,0.0,1137.70751987519,2580.3674174779535,5751.910141602383,-126.42996086515521,-11042.711872524183,28412.185277608107,5751.910141602383,-61668.57590171248,197.327139542436,0.0938260555267334
ActionType.DD,19.92289686203003,435.4264068711931,SE,0.7724122904648032,1684,2.1016472159065277e-127,446.10615680974973,0.891377278728585,1.0109584303076378,1.5707963267949077,-1.5707963267948966,-1.48126932707184,85.55001488191532,161.87310672123883,-1556.8046589463945,7.707621353703945,24.344813302779674,96.83483400286282,0.0,14.88741866528275,32.11265752203584,103.05162035330827,0.0,21.725740945276403,37.85253072891996,136.94513555699595,0.0,-66.14770754917687,4916.153655518195,13261.05946916125,-46204.6924718791,2003.9979083979133,424244.6301838852,3794723.447299244,-2200265.319067695,336.3287082602376,0
ActionType.MM,0.5394480228424072,473.63295853787247,N,0.9941539979468187,12,0.011212693888044453,-18.906298830236537,-0.0034184077629281833,0.01087578632247002,0.001701101128474776,-0.03583195108170436,0.11146385442464363,15.117070360534344,36.805690434809804,-33.659132808176516,-251.60028843661647,150.88470900250596,0,-422.8595899124807,-758.6802524689331,355.936154750709,0,-947.2731938204272,803.9582359578571,375.9375170427955,991.5774876719216,0.0,1753.0052382147774,5633.817029529687,18623.30515662915,-1043.0513603131114,-34714.957226028244,119038.72922692203,22284.261111482814,-390741.6800490584,470.8640992898057,0.09796786308288574
ActionType.DD,19.917733192443848,562.0243866176401,S,0.8394894131280841,1684,7.445700996518785e-111,658.1636609270656,1.044786752798373,0.9691469664332228,1.5707963267949412,-1.5707963267948966,-2.3021755030741873,105.43068001604436,156.69125779868105,-2088.24003697659,7.4535628497269455,24.084262583420724,109.4318513880192,0.0,22.23336568368922,37.047286455978615,99.75275287178633,0.0,27.99729612684421,41.45411531360327,130.73064601229194,0.0,-80.84108758747254,5584.706618786832,12084.809721462987,-44558.9251788053,6485.919807661982,547085.8902965476,11275636.688577,-1538071.460345573,471.8135224853141,0
ActionType.MM,0.6316690444946289,825.0961987021099,NE,0.9993551401386351,19,0.0014840286745520703,-10.037392764546544,-0.0006447631214513813,0.0023957625426171665,0.0005891008974913042,-0.01007210506153965,-0.01883810805108968,5.093179705248333,16.00935106992997,-14.275148080536443,1027.9039381897512,363.75516418227323,1249.7493087940795,0.0,-688.741502969946,245.99437937561987,0,-840.431537563308,1238.1199858073364,436.72734985706313,1417.2953909154621,0.0,2218.7039950156122,9761.749344861004,41192.1845384566,-1538.5200372885743,-59317.02613570347,273697.41961149446,44420.1486839941,-1151168.5987701106,824.5641272818021,0.03440690040588379
ActionType.DD,19.90034317970276,580.4386001800132,S,0.8362851743890699,1684,2.364193285803341e-111,1070.4976967107307,1.352703063377627,1.0825107898668382,3.141592653589793,-1.5707963267948966,-0.7817665621764571,120.36817101136718,322.5811455474511,-298.1984845053472,-7.783376169522638,24.496098498627365,0,-102.68076772424598,22.93545587341374,37.50305504145335,102.5401916682965,0.0,29.01553747798162,41.84615824645671,129.23529568860783,0.0,-32.60706215827146,5478.719202549121,11809.928921693987,-11760.473890518586,817.0329208480589,470254.9652860827,1014442.3320636856,-1077052.6139636228,485.41219597368996,0
ActionType.MM,0.502467155456543,313.1706515064723,NW,0.9996131992065058,9,0.005714285714285715,-14.24037741638348,-0.0055662550525595435,0.01656252696994021,0.0006675679536401693,-0.04655050125294943,-0.058939422426420404,16.141495963889007,31.27924809303842,-33.24821082598892,-248.2470561718446,141.96254430316506,0,-350.9210420231983,-496.4327236186589,281.6072541078064,0,-655.7493511772615,555.2565532185051,314.9420516494508,733.1500627168692,0.0,1393.6325735439148,4045.936658280475,11392.804563588947,-305.8383631912429,-21292.00168680995,64853.95374317056,11392.804563588947,-181303.30977814048,313.04951684997053,0.1255028247833252
ActionType.DD,19.92120909690857,397.56854249492426,SE,0.7896607226488974,1684,6.500441496317514e-131,409.977841293467,0.9586879849708744,0.9022775521545374,1.5707963267948966,-1.5707963267948966,-0.6608333694419531,73.14647926659676,155.7872198969318,-208.6851007779653,7.012883514440383,23.337853892633852,102.12324998173894,0.0,13.958467738250704,31.254888890189065,99.17722446856305,0.0,19.81792069648859,37.05002709285105,128.04130728998234,0.0,-38.86936220076438,4801.635114043048,11592.716127695076,-11465.752638941973,1157.5443968755499,412609.61402034183,1087204.3210316142,-1027133.499719659,313.9442625690108,0
ActionType.MM,0.5464029312133789,472.16825831705586,N,0.9870953691500787,12,0.030263412298711937,-18.434089714853766,-0.003052239230115733,0.011989644389867216,0.007532642419875866,-0.037330683046214626,-0.034693373600131056,14.59785685288478,31.03152469061236,-35.29534024428473,-209.7938375837461,169.8788739566237,19.958430088697703,-459.4767996799299,-753.8398541686134,355.1209829004949,0,-977.9630743461876,792.697836316077,370.70996152265394,982.3745179426575,0.0,1802.413441589734,5777.872468640372,19145.848855346914,-958.6818441438713,-33442.85848109242,118883.79006534608,19541.714097768934,-390240.45467800874,466.07510124442393,0.09835004806518555
ActionType.DD,19.922990083694458,552.1543289325512,S,0.8458478324522682,1684,9.640413953413471e-111,676.2278186852072,1.0913128700840689,0.9682947141096712,1.5707963267948966,-1.5707963267948966,-1.1127428817160654,94.46153839437585,164.25822280381806,-167.65649583075404,6.3020980061492455,22.302860963711236,96.14450429799427,0.0,22.39148433478021,37.15712967941529,104.57003241087011,0.0,27.553040664150565,40.74144423245116,131.49283089150347,0.0,-55.741532150071485,5363.597238256885,12226.134040779352,-11994.314450543645,617.9261465519834,460579.0957087503,1070791.7135030695,-1113713.45417358,467.0385423067351,0
ActionType.MM,0.5001740455627441,322.44027622805964,NE,0.9961899670556219,9,0.00873256636653518,-7.937222615069302,-0.0032838184248404102,0.010357720947302253,0.0031867778407850553,-0.028604025506218517,0.027704555474137485,10.160367107293188,19.448992083129184,-20.911796807613182,241.10410874658365,147.78533299485414,388.27310141595854,0.0,-515.871061884494,293.45196637754634,0,-705.3183822911172,571.6230818878341,324.25824078393856,754.6672588062817,0.0,1493.8084694475715,4143.504450500442,11719.16637774363,-310.2976125126879,-21282.953563518866,65817.73042591992,11719.16637774363,-183421.3024892857,321.21176815303636,0.12624788284301758
ActionType.DD,19.972731828689575,415.11269837220823,SW,0.775977203462436,1684,5.209066099797915e-129,834.0928495280941,1.6184008099522984,1.1476077526154347,3.141592653589793,-1.5707963267948966,-2.395968190832716,126.18228455514861,310.12979272552917,-2021.6008949558582,-6.786264008085357,22.937256059385355,0,-98.71737902466579,14.424936746354515,31.574867995961096,98.74759270158917,0.0,20.573263105861685,36.79487107773389,126.30188232509417,0.0,-76.43819569873838,4760.950773937725,11279.884384713223,-42141.17698922708,6350.120534585181,472683.3559348153,10199244.50147854,-1422009.9234615297,322.11799080461185,0
ActionType.MM,0.5505330562591553,511.9721559763139,NW,0.987945047338007,13,0.022033818804380968,-27.490299962989017,-0.004797019671386656,0.013885432609932672,0.003706544612173749,-0.048027927655433886,-0.09904218651799088,22.221652932330024,58.247476377345926,-49.38013964605053,-681.262578895219,318.01536208361,0,-992.1529388362928,-508.60263750420324,254.60414230975167,0,-779.1035571654128,860.6034352313876,382.9193134919933,1080.7032169598508,0.0,1959.8341279617384,6430.327994696676,22251.082934480724,-1192.5316214472955,-37919.834648413715,139519.2721462018,25815.609979953686,-478293.6517020108,505.8003558717609,0.04620695114135742
