Time,Key pressed,Key released
1.64315,1,None
1.65008,None,1
1.99382,2,None
2.00534,None,2
2.35047,3,None
2.36483,None,3
2.70591,Key.shift,None
2.71597,C,None
2.72654,None,Key.shift
2.73752,None,c
3.0815,Key.shift,None
3.09311,A,None
3.10462,None,Key.shift
3.1186,None,a
3.45961,Key.shift,None
3.4711,P,None
3.48436,None,Key.shift
3.49311,None,p
3.83821,a,None
3.85306,None,a
4.19193,b,None
4.20341,None,b
4.54784,c,None
4.55809,None,c
4.90338,Key.shift,None
4.91376,!,None
4.92502,None,Key.shift
4.93506,None,1
5.38287,Key.enter,None
5.39344,None,Key.enter
5.50632,1,None
5.51651,None,1
5.60649,2,None
5.61703,None,2
5.7072,3,None
5.71723,None,3
5.80708,Key.shift,None
5.81771,C,None
5.82787,None,Key.shift
5.83832,None,c
5.92636,Key.shift,None
5.93774,A,None
5.94894,None,Key.shift
5.95996,None,a
6.0499,Key.shift,None
6.06013,P,None
6.07168,None,Key.shift
6.0815,None,p
6.17128,a,None
6.18262,None,a
6.27097,b,None
6.28244,None,b
6.37158,c,None
6.38304,None,c
6.47135,Key.shift,None
6.483,!,None
6.49548,None,Key.shift
6.50468,None,1
6.69486,Key.enter,None
6.70569,None,Key.enter
6.81892,1,None
6.82989,None,1
7.22043,2,None
7.23031,None,2
7.62244,3,None
7.63399,None,3
8.02305,Key.shift,None
8.03467,C,None
8.04602,None,Key.shift
8.06217,None,c
8.44739,Key.shift,None
8.45927,A,None
8.47055,None,Key.shift
8.48118,None,a
8.87065,Key.shift,None
8.88448,P,None
8.89258,None,Key.shift
8.9038,None,p
9.29342,a,None
9.30412,None,a
9.69335,b,None
9.70423,None,b
10.09403,c,None
10.10525,None,c
10.49743,Key.shift,None
10.50687,!,None
10.51751,None,Key.shift
10.52868,None,1
11.01762,Key.enter,None
11.02814,None,Key.enter
11.14122,1,None
11.1529,None,1
11.56911,2,None
11.57893,None,2
11.99473,3,None
12.00606,None,3
12.42287,Key.shift,None
12.43299,C,None
12.44326,None,Key.shift
12.45344,None,c
12.87054,Key.shift,None
12.88214,A,None
12.89308,None,Key.shift
12.90388,None,a
13.32053,Key.shift,None
13.33453,P,None
13.34198,None,Key.shift
13.3523,None,p
13.7686,a,None
13.78282,None,a
14.1959,b,None
14.20691,None,b
14.62359,c,None
14.63429,None,c
15.05116,Key.shift,None
15.06237,!,None
15.07395,None,Key.shift
15.08443,None,1
15.60153,Key.enter,None
15.61189,None,Key.enter
15.72518,1,None
15.7363,None,1
15.90808,2,None
15.91828,None,2
16.09059,3,None
16.10185,None,3
16.27401,Key.shift,None
16.28544,C,None
16.29647,None,Key.shift
16.30769,None,c
16.48009,Key.shift,None
16.49103,A,None
16.50219,None,Key.shift
16.51815,None,a
16.68338,Key.shift,None
16.69473,P,None
16.70489,None,Key.shift
16.7163,None,p
16.88882,a,None
16.9004,None,a
17.07204,b,None
17.08337,None,b
17.2548,c,None
17.26641,None,c
17.43776,Key.shift,None
17.44937,!,None
17.46072,None,Key.shift
17.47525,None,1
17.74528,Key.enter,None
17.76123,None,Key.enter
17.86838,1,None
17.88005,None,1
18.19962,2,None
18.21099,None,2
18.53098,3,None
18.54213,None,3
18.86149,Key.shift,None
18.87346,C,None
18.88409,None,Key.shift
18.89485,None,c
19.21499,Key.shift,None
19.22621,A,None
19.23628,None,Key.shift
19.24699,None,a
19.56667,Key.shift,None
19.57738,P,None
19.58862,None,Key.shift
19.60025,None,p
